date,value
2023-08-24,1113.47
2023-08-25,1109.16
2023-08-28,1117.38
2023-08-29,1126.82
2023-08-30,1131.02
2023-08-31,1133.56
2023-09-01,1133.36
2023-09-04,1134.8
2023-09-05,1135.24
2023-09-06,1128.06
2023-09-07,1125.96
2023-09-08,1129.22
2023-09-11,1131.53
2023-09-12,1130.38
2023-09-13,1130.38
2023-09-14,1133.78
2023-09-15,1129.6
2023-09-18,1129.4
2023-09-19,1124.04
2023-09-20,1128.75
2023-09-21,1112.86
2023-09-22,1111.77
2023-09-25,1110.65
2023-09-26,1103.32
2023-09-27,1100.81
2023-09-28,1104.64
2023-09-29,1105.49
2023-10-02,1100.66
2023-10-03,1093.14
2023-10-04,1095.92
2023-10-05,1092.53
2023-10-06,1101.96
2023-10-09,1101.28
2023-10-10,1115.47
2023-10-11,1113.01
2023-10-12,1115.65
2023-10-13,1109.03
2023-10-16,1115.71
2023-10-17,1115.1
2023-10-18,1108.82
2023-10-19,1103.09
2023-10-20,1093.92
2023-10-23,1094.05
2023-10-24,1094.27
2023-10-25,1090.25
2023-10-26,1081.49
2023-10-27,1081.05
2023-10-30,1082.03
2023-10-31,1086.65
2023-11-01,1092.66
2023-11-02,1105.86
2023-11-03,1118.59
2023-11-06,1118.63
2023-11-07,1120.42
2023-11-08,1120.55
2023-11-09,1121.74
